"YEAR","JURISDICTION","AGE_BAND","Sum(FINES)"
2023,"ACT","Adult",19839
2023,"ACT","Mature",31084
2023,"ACT","Senior",9902
2023,"ACT","Unknown",1147
2023,"ACT","Young",8479
2023,"NSW","Adult",60181
2023,"NSW","Mature",59374
2023,"NSW","Senior",11728
2023,"NSW","Unknown",705907
2023,"NSW","Young",43311
2023,"NT","Adult",14283
2023,"NT","Mature",17559
2023,"NT","Senior",4118
2023,"NT","Unknown",1442
2023,"NT","Young",5519
2023,"QLD","Unknown",860626
2023,"SA","Adult",56349
2023,"SA","Mature",90037
2023,"SA","Senior",28380
2023,"SA","Unknown",4452
2023,"SA","Young",23504
2023,"TAS","Adult",20286
2023,"TAS","Mature",26326
2023,"TAS","Senior",8787
2023,"TAS","Unknown",34
2023,"TAS","Young",8604
2023,"VIC","Adult",312358
2023,"VIC","Mature",488357
2023,"VIC","Senior",146230
2023,"VIC","Unknown",256641
2023,"VIC","Young",92695
2023,"WA","Adult",246081
2023,"WA","Mature",373492
2023,"WA","Senior",91398
2023,"WA","Unknown",297
2023,"WA","Young",94053
