"JURISDICTION","Sum(FINES)","START_DATE"
"QLD",71718.83333333333,"2023-01-01"
"QLD",71718.83333333333,"2023-02-01"
"QLD",71718.83333333333,"2023-03-01"
"QLD",71718.83333333333,"2023-04-01"
"QLD",71718.83333333333,"2023-05-01"
"QLD",71718.83333333333,"2023-06-01"
"QLD",71718.83333333333,"2023-07-01"
"QLD",71718.83333333333,"2023-08-01"
"QLD",71718.83333333333,"2023-09-01"
"QLD",71718.83333333333,"2023-10-01"
"QLD",71718.83333333333,"2023-11-01"
"QLD",71718.83333333333,"2023-12-01"
"ACT",7063,"2023-01-01"
"ACT",6236,"2023-02-01"
"ACT",6508,"2023-03-01"
"ACT",6409,"2023-04-01"
"ACT",5886,"2023-05-01"
"ACT",5415,"2023-06-01"
"ACT",5603,"2023-07-01"
"ACT",5148,"2023-08-01"
"ACT",5756,"2023-09-01"
"ACT",5201,"2023-10-01"
"ACT",5224,"2023-11-01"
"ACT",6002,"2023-12-01"
"NSW",62902,"2023-01-01"
"NSW",64923,"2023-02-01"
"NSW",81114,"2023-03-01"
"NSW",65010,"2023-04-01"
"NSW",73699,"2023-05-01"
"NSW",72058,"2023-06-01"
"NSW",67492,"2023-07-01"
"NSW",76916,"2023-08-01"
"NSW",76097,"2023-09-01"
"NSW",75351,"2023-10-01"
"NSW",80745,"2023-11-01"
"NSW",84194,"2023-12-01"
"NT",2925,"2023-01-01"
"NT",2884,"2023-02-01"
"NT",2913,"2023-03-01"
"NT",3050,"2023-04-01"
"NT",4054,"2023-05-01"
"NT",3759,"2023-06-01"
"NT",4113,"2023-07-01"
"NT",3748,"2023-08-01"
"NT",3836,"2023-09-01"
"NT",3271,"2023-10-01"
"NT",2731,"2023-11-01"
"NT",5637,"2023-12-01"
"SA",18066,"2023-01-01"
"SA",17134,"2023-02-01"
"SA",19438,"2023-03-01"
"SA",15307,"2023-04-01"
"SA",17179,"2023-05-01"
"SA",17271,"2023-06-01"
"SA",16222,"2023-07-01"
"SA",17644,"2023-08-01"
"SA",16134,"2023-09-01"
"SA",16765,"2023-10-01"
"SA",17870,"2023-11-01"
"SA",13692,"2023-12-01"
"TAS",6933,"2023-01-01"
"TAS",4735,"2023-02-01"
"TAS",4372,"2023-03-01"
"TAS",4520,"2023-04-01"
"TAS",5498,"2023-05-01"
"TAS",5171,"2023-06-01"
"TAS",5532,"2023-07-01"
"TAS",5357,"2023-08-01"
"TAS",4437,"2023-09-01"
"TAS",5696,"2023-10-01"
"TAS",6593,"2023-11-01"
"TAS",5193,"2023-12-01"
"VIC",119221,"2023-01-01"
"VIC",98919,"2023-02-01"
"VIC",109057,"2023-03-01"
"VIC",101399,"2023-04-01"
"VIC",101085,"2023-05-01"
"VIC",101822,"2023-06-01"
"VIC",104554,"2023-07-01"
"VIC",106305,"2023-08-01"
"VIC",104375,"2023-09-01"
"VIC",108280,"2023-10-01"
"VIC",118587,"2023-11-01"
"VIC",122677,"2023-12-01"
"WA",64178,"2023-01-01"
"WA",70676,"2023-02-01"
"WA",65964,"2023-03-01"
"WA",67141,"2023-04-01"
"WA",60638,"2023-05-01"
"WA",51924,"2023-06-01"
"WA",69852,"2023-07-01"
"WA",74493,"2023-08-01"
"WA",70450,"2023-09-01"
"WA",76187,"2023-10-01"
"WA",64989,"2023-11-01"
"WA",68829,"2023-12-01"
